model,lead_group,stratum_type,stratum,n,coverage68,wilson68_lo,wilson68_hi,coverage90,wilson90_lo,wilson90_hi,truth
best_match,1-3,forecast_bin,f >= 10,446,0.23094170403587444,0.1942268588050926,0.27225184105318095,0.7130044843049327,0.6693434791858258,0.7530275500930407,era5
best_match,1-3,city_group,Centre-south,693,0.6060606060606061,0.5691923403437736,0.6417595169639024,0.9148629148629148,0.8917287140967092,0.933423108705425,era5
best_match,1-3,city_group,Coquimbo coast,126,0.7301587301587301,0.6466970966085026,0.8000015195324706,0.8650793650793651,0.7945301725945253,0.9140262530083978,era5
best_match,1-3,city_group,Coquimbo interior,441,0.7619047619047619,0.7199989194723194,0.7992872113234194,0.891156462585034,0.8586404694059004,0.916916738925398,era5
best_match,4-7,all,all cases,1764,0.6797052154195011,0.6575610963256816,0.7010683479691707,0.9002267573696145,0.8853596158804667,0.9133545408140623,era5
best_match,4-7,forecast_bin,f = 0,707,0.9943422913719944,0.985543938480824,0.9977976931399151,1.0,0.9945958992215486,1.0,era5
best_match,4-7,forecast_bin,0 < f < 10,433,0.7228637413394919,0.6788860764505457,0.7629218061946875,0.9699769053117783,0.9493162569841346,0.9823718685941548,era5
best_match,4-7,forecast_bin,f >= 10,624,0.2932692307692308,0.25890072680040255,0.3301675063492353,0.7387820512820513,0.702927671033867,0.7717144472661639,era5
best_match,4-7,city_group,Centre-south,924,0.6060606060606061,0.5741783248662239,0.6370646608010887,0.9004329004329005,0.8794376798419041,0.9181123680857046,era5
best_match,4-7,city_group,Coquimbo coast,168,0.7619047619047619,0.6921003992148712,0.8199995362307905,0.8928571428571429,0.8370042867735584,0.9311456163949342,era5
best_match,4-7,city_group,Coquimbo interior,588,0.7568027210884354,0.7205323546869424,0.7897394342662059,0.8962585034013606,0.8689860227439254,0.9183870025943761,era5
ecmwf_ifs025,all,all,all cases,3087,0.6786524133462909,0.6619654237585895,0.6948953258701609,0.9005506964690638,0.8894908355324843,0.9106149068355119,era5
