metric,model,lead_days,truth_a,truth_b,n,n_cities,n_dates,value_grid,value_gauge,difference,bootstrap_se,sigma,verdict,sign_flip,value_era5
pod,icon_seamless,3,grid,gauge,438,21,21,0.7880794701986755,0.8203125,-0.032233029801324475,0.015442290400400039,2.0873218263328,shifted,False,
far,icon_seamless,3,grid,gauge,438,21,21,0.0916030534351145,0.1984732824427481,-0.10687022900763359,0.03457409783479443,3.09104895573247,shifted,False,
mae_mm,icon_seamless,4,grid,gauge,438,21,21,7.923287671232877,7.49995593607306,0.4233317351598167,0.6160825889193531,0.6871347166333116,robust,False,
bias_mm,icon_seamless,4,grid,gauge,438,21,21,-2.703652968036529,0.5634072515764296,-3.267060219612959,1.0169597796967793,3.212575644424284,shifted,True,
pod,icon_seamless,4,grid,gauge,438,21,21,0.7615894039735099,0.78125,-0.019660596026490063,0.016022125461009378,1.227090380382745,robust,False,
far,icon_seamless,4,grid,gauge,438,21,21,0.15441176470588236,0.2647058823529412,-0.11029411764705882,0.03530398133574788,3.124126896571235,shifted,False,
mae_mm,icon_seamless,5,grid,gauge,438,21,21,7.369406392694064,6.846404511850403,0.523001880843661,0.48961639911693666,1.0681870169931762,robust,False,
bias_mm,icon_seamless,5,grid,gauge,438,21,21,-3.771689497716895,-0.5046292781039358,-3.2670602196129592,1.0118814185189084,3.228698699097526,shifted,False,
pod,icon_seamless,5,grid,gauge,438,21,21,0.7086092715231788,0.71875,-0.010140728476821237,0.02221424961155037,0.4564965575766526,robust,False,
far,icon_seamless,5,grid,gauge,438,21,21,0.19548872180451127,0.3082706766917293,-0.11278195488721804,0.04338257837763583,2.599706128701615,shifted,False,
mae_mm,icon_seamless,6,grid,gauge,438,21,21,9.097488584474885,8.802615775168515,0.2948728093063693,0.4552636516315401,0.6476967977777843,robust,False,
bias_mm,icon_seamless,6,grid,gauge,438,21,21,-1.2426940639269406,2.0243661556860184,-3.267060219612959,0.9983365339514961,3.2725039187754374,shifted,True,
pod,icon_seamless,6,grid,gauge,438,21,21,0.7880794701986755,0.8046875,-0.016608029801324475,0.02077157648622924,0.7995555759734926,robust,False,
far,icon_seamless,6,grid,gauge,438,21,21,0.30409356725146197,0.39766081871345027,-0.0935672514619883,0.02864040103436688,3.266967224017318,shifted,False,
mae_mm,best_match,1,grid,era5,441,21,21,3.7850340136054417,,-0.08344671201814124,0.36628799526060646,0.22781721786642395,robust,False,3.868480725623583
bias_mm,best_match,1,grid,era5,441,21,21,-1.1886621315192742,,0.23900226757369625,0.7656560093721865,0.31215358417897154,robust,False,-1.4276643990929705
pod,best_match,1,grid,era5,441,21,21,0.9072847682119205,,-0.019381898454746138,0.00985922349434925,1.9658646003769717,robust,False,0.9266666666666666
far,best_match,1,grid,era5,441,21,21,0.06802721088435375,,0.013605442176870756,0.03429731220517534,0.3966912070391844,robust,False,0.05442176870748299
mae_mm,best_match,2,grid,era5,441,21,21,3.9292517006802727,,-0.6526077097505665,0.3918359516126527,1.6655125877670822,robust,False,4.581859410430839
bias_mm,best_match,2,grid,era5,441,21,21,-0.7886621315192746,,0.23900226757369603,0.7633865713612008,0.3130815716964069,robust,False,-1.0276643990929706
