model,lead_days,n,hits,misses,false_alarms,base_rate,pod,far,csi,threshold_mm,truth
ecmwf_ifs025,4,438,178,11,34,0.4315068493150685,0.9417989417989417,0.16037735849056603,0.7982062780269058,1.0,gauge
ecmwf_ifs025,5,438,177,12,50,0.4315068493150685,0.9365079365079365,0.22026431718061673,0.7405857740585774,1.0,gauge
ecmwf_ifs025,6,438,176,13,62,0.4315068493150685,0.9312169312169312,0.2605042016806723,0.701195219123506,1.0,gauge
ecmwf_ifs025,7,438,175,14,68,0.4315068493150685,0.9259259259259259,0.27983539094650206,0.6809338521400778,1.0,gauge
gfs_seamless,1,438,166,23,14,0.4315068493150685,0.8783068783068783,0.07777777777777778,0.8177339901477833,1.0,gauge
gfs_seamless,2,438,168,21,16,0.4315068493150685,0.8888888888888888,0.08695652173913043,0.8195121951219512,1.0,gauge
gfs_seamless,3,438,169,20,18,0.4315068493150685,0.8941798941798942,0.0962566844919786,0.8164251207729468,1.0,gauge
gfs_seamless,4,438,166,23,17,0.4315068493150685,0.8783068783068783,0.09289617486338798,0.8058252427184466,1.0,gauge
gfs_seamless,5,438,149,40,24,0.4315068493150685,0.7883597883597884,0.13872832369942195,0.6995305164319249,1.0,gauge
gfs_seamless,6,438,150,39,34,0.4315068493150685,0.7936507936507936,0.18478260869565216,0.672645739910314,1.0,gauge
gfs_seamless,7,438,146,43,39,0.4315068493150685,0.7724867724867724,0.21081081081081082,0.6403508771929824,1.0,gauge
icon_seamless,1,438,172,17,14,0.4315068493150685,0.91005291005291,0.07526881720430108,0.8472906403940886,1.0,gauge
icon_seamless,2,438,178,11,19,0.4315068493150685,0.9417989417989417,0.09644670050761421,0.8557692307692307,1.0,gauge
icon_seamless,3,438,175,14,30,0.4315068493150685,0.9259259259259259,0.14634146341463414,0.7990867579908676,1.0,gauge
icon_seamless,4,438,173,16,38,0.4315068493150685,0.9153439153439153,0.18009478672985782,0.762114537444934,1.0,gauge
icon_seamless,5,438,174,15,59,0.4315068493150685,0.9206349206349206,0.2532188841201717,0.7016129032258065,1.0,gauge
icon_seamless,6,438,179,10,80,0.4315068493150685,0.9470899470899471,0.3088803088803089,0.6654275092936803,1.0,gauge
best_match,1,438,120,8,27,0.2922374429223744,0.9375,0.1836734693877551,0.7741935483870968,10.0,gauge
best_match,2,438,122,6,27,0.2922374429223744,0.953125,0.18120805369127516,0.7870967741935484,10.0,gauge
best_match,3,438,119,9,34,0.2922374429223744,0.9296875,0.2222222222222222,0.7345679012345679,10.0,gauge
