model,lead_days,n,mae_mm,k,band_half_width_mm,coverage,wilson_lo,wilson_hi,gaussian_reference,truth
ecmwf_ifs025,1,438,5.068466394868449,1,5.068466394868449,0.7191780821917808,0.6753258628427513,0.7592191445137951,0.5750625163166379,gauge
ecmwf_ifs025,1,438,5.068466394868449,2,10.136932789736898,0.8105022831050228,0.7711609933914597,0.8444444336969811,0.889459650277264,gauge
ecmwf_ifs025,2,438,5.3276109915198955,1,5.3276109915198955,0.7054794520547946,0.66115290755052,0.7462330368462424,0.5750625163166379,gauge
ecmwf_ifs025,2,438,5.3276109915198955,2,10.655221983039791,0.821917808219178,0.7833363909579371,0.8549015885969905,0.889459650277264,gauge
ecmwf_ifs025,3,438,6.328354848880191,1,6.328354848880191,0.7054794520547946,0.66115290755052,0.7462330368462424,0.5750625163166379,gauge
ecmwf_ifs025,3,438,6.328354848880191,2,12.656709697760382,0.7968036529680366,0.7566157874263566,0.8318305767023002,0.889459650277264,gauge
ecmwf_ifs025,4,438,7.803558980213089,1,7.803558980213089,0.7077625570776256,0.663511844361776,0.7484006105282837,0.5750625163166379,gauge
ecmwf_ifs025,4,438,7.803558980213089,2,15.607117960426178,0.8127853881278538,0.7735919903857269,0.8465399471960113,0.889459650277264,gauge
ecmwf_ifs025,5,438,7.250880006523158,1,7.250880006523158,0.7009132420091324,0.656438830838909,0.7418940925712586,0.5750625163166379,gauge
ecmwf_ifs025,5,438,7.250880006523158,2,14.501760013046315,0.8013698630136986,0.7614565916706088,0.8360427934446427,0.889459650277264,gauge
ecmwf_ifs025,6,438,9.358602359208524,1,9.358602359208524,0.6735159817351598,0.6282573923899593,0.7157574051006401,0.5750625163166379,gauge
ecmwf_ifs025,6,438,9.358602359208524,2,18.717204718417047,0.8059360730593608,0.7663049275089353,0.8402474785929108,0.889459650277264,gauge
ecmwf_ifs025,7,438,9.574077245053273,1,9.574077245053273,0.6689497716894978,0.6235771231615321,0.7113846533424726,0.5750625163166379,gauge
ecmwf_ifs025,7,438,9.574077245053273,2,19.148154490106545,0.8242009132420092,0.7857777428913224,0.8569867471569026,0.889459650277264,gauge
gfs_seamless,1,438,5.096391204609698,1,5.096391204609698,0.7374429223744292,0.6942976437475246,0.7764594475554008,0.5750625163166379,gauge
